user.index,decision.index,decision.index.nogap,sugg.select.utime,sugg.select.slot,sugg.select.update,sugg.tz,sugg.gmtoff,sugg.decision.utime,sugg.decision.slot,sugg.context.utime,sugg.response.utime,sugg.device.utime,sugg.device.since,interaction.count,connect,is.randomized,snooze.status,intransit,avail,send,send.active,send.sedentary,is.prefetch,recognized.activity,recognized.activity.response,tag.active,tag.indoor,tag.outdoor,tag.outdoor_snow,front.end.application,returned.message,response,dec.city,dec.location.exact,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,response.city,response.location.exact,response.location.category,response.weather.condition,response.temperature,response.windspeed,response.precipitation.chance,response.snow,jbmins10,jbsteps10,jbmins40,jbsteps40,jbmins30,jbsteps30,jbmins60,jbsteps60,jbmins90,jbsteps90,jbmins120,jbsteps120,jbsteps10.zero,jbsteps30.zero,jbsteps40.zero,jbsteps60.zero,jbsteps90.zero,jbsteps120.zero,jbmins30pre,jbsteps30pre,jbmins40pre,jbsteps40pre,jbmins60pre,jbsteps60pre,jbsteps30pre.zero,jbsteps40pre.zero,jbsteps60pre.zero,gfmins10,gfsteps10,gfmins30,gfsteps30,gfmins60,gfsteps60,gfmins30pre,gfsteps30pre,gfmins60pre,gfsteps60pre
1,0,0.0,2015-07-22 16:30:00,2,2015-07-22,Etc/GMT+4,-14400.0,2015-07-22 16:31:53,2.0,2015-07-22 16:31:53,2015-07-22 16:56:35,2015-07-22 15:16:51.0,1.25055555555556,0.0,True,True,False,False,True,True,False,True,False,STILL,STILL,False,True,True,False,,Hows your energy level this afternoon A 1015 minute walk can enliven your body,good,Ann Arbor,The Songbird Cafe,"restaurant,meal_takeaway,food,point_of_interest,establishment",Partly Cloudy,23.3,3.0,0.0,0.0,Ann Arbor,work,work,Clear,24.3,3.0,0.0,0.0,0.0,0.0,19.0,1413.0,17.0,1311.0,19.0,1413.0,25.0,1617.0,33.0,2035.0,0,1311,1413,1413,1617,2035,0.0,0.0,1.0,26.0,10.0,874.0,0,26,874,3.0,3.0,23.0,948.0,23.0,948.0,0.0,0.0,23.0,954.0
1,1,1.0,2015-07-22 18:30:00,3,2015-07-22,Etc/GMT+4,-14400.0,2015-07-22 18:32:10,3.0,2015-07-22 18:32:10,2015-07-22 18:32:38,2015-07-22 18:26:04.0,0.101666666666667,0.0,True,True,False,False,True,True,True,False,False,STILL,STILL,True,False,True,False,,Its almost the end of the workday How about a refreshing walk to help you power through the last few hours,good,Ann Arbor,work,work,Partly Cloudy,24.4,1.6,0.0,0.0,Ann Arbor,work,work,Partly Cloudy,24.4,1.6,0.0,0.0,5.0,414.0,5.0,414.0,5.0,414.0,5.0,414.0,11.0,734.0,16.0,1085.0,414,414,414,414,734,1085,8.0,418.0,13.0,584.0,14.0,622.0,418,584,622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2.0,2015-07-22 21:30:00,4,2015-07-22,Etc/GMT+4,-14400.0,2015-07-22 21:31:48,4.0,2015-07-22 21:31:48,,2015-07-22 21:30:30.0,0.0216666666666667,,True,False,False,False,True,False,False,False,False,STILL,,,,,,,donotnotify,,Chelsea,home,home,Mostly Cloudy,25.8,3.7,0.0,0.0,,,,,,,,,4.0,140.0,16.0,455.0,11.0,341.0,17.0,473.0,34.0,1735.0,61.0,4648.0,140,341,455,473,1735,4648,7.0,261.0,8.0,286.0,12.0,456.0,261,286,456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,73.0
1,3,3.0,2015-07-22 23:30:00,5,2015-07-22,Etc/GMT+4,-14400.0,2015-07-22 23:31:50,5.0,2015-07-22 23:31:50,,2015-07-22 23:25:39.0,0.103055555555556,,True,True,False,False,True,True,False,True,False,STILL,,False,True,True,True,,Quick look at the clock If the minute ends in an odd number try to remain standing for the next 5 minutes,,Chelsea,home,home,Partly Cloudy,25.7,0.0,0.0,0.0,,,,,,,,,5.0,229.0,7.0,369.0,7.0,369.0,14.0,715.0,23.0,1082.0,35.0,1480.0,229,369,369,715,1082,1480,27.0,2913.0,35.0,3858.0,44.0,4175.0,2913,3858,4175,5.0,10.0,16.0,323.0,46.0,1103.0,46.0,2603.0,67.0,3760.0
1,4,4.0,2015-07-23 09:30:00,1,2015-07-23,Etc/GMT+4,-14400.0,2015-07-23 09:31:31,1.0,2015-07-23 09:31:31,,2015-07-23 02:27:47.0,7.06222222222222,,True,False,False,False,True,False,False,False,False,STILL,,,,,,,donotnotify,,Chelsea,home,home,Clear,11.3,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,5.0,2015-07-23 16:30:00,2,2015-07-22,Etc/GMT+4,-14400.0,2015-07-23 16:33:51,2.0,2015-07-23 16:33:51,2015-07-23 16:34:29,2015-07-23 16:04:31.0,0.488888888888889,0.0,True,True,False,False,True,True,False,True,False,STILL,STILL,False,True,True,False,,Hey you Have you been sitting for a while Can you take a 5 minute walking break,bad,Chelsea,home,home,Partly Cloudy,26.6,0.0,0.0,0.0,Chelsea,home,home,Partly Cloudy,26.6,0.0,0.0,0.0,5.0,241.0,23.0,1243.0,16.0,893.0,27.0,1318.0,32.0,1624.0,50.0,2283.0,241,893,1243,1318,1624,2283,23.0,1168.0,29.0,1511.0,43.0,2201.0,1168,1511,2201,2.0,2.0,2.0,2.0,4.0,11.0,0.0,0.0,2.0,7.0
1,6,6.0,2015-07-23 18:30:00,3,2015-07-22,Etc/GMT+4,-14400.0,2015-07-23 18:31:07,3.0,2015-07-23 18:31:07,2015-07-23 18:32:45,2015-07-23 18:05:23.0,0.428888888888889,0.0,True,True,False,False,True,True,True,False,False,STILL,STILL,True,False,True,False,,How about taking a few minutes to enjoy nature Head outside walk until you see a wild animal even if its just a squirrel,good,Chelsea,home,home,Partly Cloudy,27.5,0.0,0.0,0.0,Chelsea,home,home,Partly Cloudy,27.5,0.0,0.0,0.0,7.0,183.0,23.0,797.0,19.0,589.0,24.0,872.0,46.0,2755.0,76.0,5757.0,183,589,797,872,2755,5757,18.0,659.0,21.0,833.0,24.0,983.0,659,833,983,0.0,0.0,0.0,0.0,7.0,93.0,0.0,0.0,0.0,0.0
1,7,7.0,2015-07-23 21:30:00,4,2015-07-22,Etc/GMT+4,-14400.0,2015-07-23 21:31:16,4.0,2015-07-23 21:31:16,2015-07-23 21:42:32,2015-07-23 20:58:56.0,0.538888888888889,0.0,True,True,False,False,True,True,True,False,False,STILL,STILL,True,False,True,False,,Its a lovely evening Why not embrace the calm with a walk outside,bad,Chelsea,home,home,Partly Cloudy,32.7,4.7,0.0,0.0,Chelsea,home,home,Partly Cloudy,32.5,3.7,0.0,0.0,8.0,655.0,18.0,1122.0,14.0,899.0,23.0,1297.0,24.0,1322.0,26.0,1365.0,655,899,1122,1297,1322,1365,26.0,2415.0,36.0,2978.0,49.0,3592.0,2415,2978,3592,0.0,0.0,1.0,1.0,5.0,26.0,0.0,0.0,0.0,0.0
1,8,8.0,2015-07-23 23:30:00,5,2015-07-22,Etc/GMT+4,-14400.0,2015-07-23 23:32:54,5.0,2015-07-23 23:32:54,,2015-07-23 23:16:56.0,0.266111111111111,,True,False,False,False,True,False,False,False,False,STILL,,,,,,,donotnotify,,Chelsea,home,home,Partly Cloudy,27.5,0.0,0.0,0.0,,,,,,,,,0.0,0.0,12.0,530.0,9.0,386.0,17.0,743.0,18.0,765.0,19.0,783.0,0,386,530,743,765,783,2.0,43.0,2.0,43.0,3.0,68.0,43,43,68,0.0,0.0,0.0,0.0,10.0,61.0,5.0,50.0,5.0,50.0
1,9,9.0,2015-07-24 09:30:00,1,2015-07-23,Etc/GMT+4,-14400.0,2015-07-24 09:31:49,1.0,2015-07-24 09:31:49,,2015-07-24 03:31:04.0,6.0125,,True,False,False,False,True,False,False,False,False,STILL,,,,,,,donotnotify,,Chelsea,home,home,Clear,16.3,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,79.0,3.0,79.0,0,0,0,0,79,79,0.0,0.0,0.0,0.0,1.0,38.0,0,0,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
